name,issuer_name,our_take,pros,cons,bonus_offer,redeem,rewards_rate,offer_link,toc_link,credit_card_terms,fb_horizontal_link,score,problem_resolution,over_limit_fee,penalty_apr,score_response,billing_and_payment_quality,cash_advance_apr,short_name,overall_satisfaction,annual_fee,balance_transfer_fee,credit_score,customer_service,late_payment_fee,minimum_interest_charge_apr,similar_cards,rewards_quality,issuer_phrase,returned_check_fee,foreign_transaction_fee,returned_payment_fee,cash_advance_fee,purchase_apr,image_link,balance_transfer_apr,fb_square_link
BBVA Compass Clearpoints Card,BBVA Compass, a 'meh' card for people with good credit looking for low fees. , No annual fee; 3.99% for 12 mos on transfers," Foreign transaction fees, unknown rewards system.", None.,The Clearpoints information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1.00%. ~1.00%.~,https://www.bbvacompass.com/content/bbvacompass/en/personal/credit-cards/bbvacompass-clearpoints.html,https://www.bbvacompass.com/credit-cards/bbvacompass-clearpoints.html,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Clearpoints.jpg,72,About average. ,BBVA Compass does not disclose the over limit fee for the Clearpoints.,BBVA Compass does not disclose the penalty A P R for the Clearpoints.,"72 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 23.24% to 30.24%.,Clearpoints,About average. ,No annual fee.,"A balance transfers fee of either $10 or 4% of the amount of each transfer, whichever is greater.",A recommended credit score range of 690 to 850.,About average. ,A late payment fee of $37 Over-the-Credit Limit Up to $37 (but only if you have authorized transactions over your credit limit).,A minimum interest charge of $1.,"[{'S': 'Blue Cash Everyday Card from American Express'}, {'S': 'Chase Sapphire Preferred Card'}, {'S': 'BankAmericard Credit Card'}]",About average. ,BBVA Compass issues Clearpoints,BBVA Compass does not disclose the returned check fee for the Clearpoints.,A foreign transaction fee of 3%.,A returned payment fee of up to $27.,"A cash advances fee of either $10 or 4% of the amount of each cash advance, whichever is greater.","A purchase A P R of 0% for first six months. After that, 12.24% to 30.24%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Clearpoints.jpg,"A balance transfer A P R of 0% to 3.99% for one year, based on your creditworthiness. After that, 12.24% to 30.24%.",
Club Carlson Radisson Rewards Visa Signature Card,US Bank, look into this card if you frequent hotels under the Radisson chain and the Park Plaza and Park Inn. , High rewards rate; free nights; upgrade to elite status, Has annual fee; Needs excellent credit.," Earn 50,000 Gold Points after your first purchase, plus 35,000 points once you spend $2,500 on your card within the first 90 days; that's up to 9 Free Award Nights at Category 1 hotels. ~50k points after first purchase. 35k more points after spending $2.5k.~",The Club Carlson Radisson Rewards Visa Signature Card information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 2.70%; 6 points per $1 spent in eligible net purchases at participating Carlson Rezidor hotels. 3 points per $1 spent in eligible net purchases everywhere else. ~6 points per dollar at Carlson Rezidor hotels. 3 points per dollar all else.~,http://www.clubcarlsonvisa.com/credit/visaSignatureCard.do,https://applications.usbank.com/oad/catalog/terms.controller?locationCode=21603&productId=05&sourceCode=33352,Good. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Club+Carlson+Radisson+Rewards+Visa+Signature+Card.jpg,83,About average. ,US Bank does not disclose the over limit fee for the Club Carlson Radisson Rewards Visa Signature Card.,US Bank does not disclose the penalty A P R for the Club Carlson Radisson Rewards Visa Signature Card.,"83 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,US Bank does not disclose the cash advance A P R for the Club Carlson Radisson Rewards Visa Signature Card.,Club Carlson Radisson,About average. ,An annual fee of $50.,US Bank does not disclose the balance transfers fee for the Club Carlson Radisson Rewards Visa Signature Card.,A recommended credit score range of 720 to 850.,About average. ,A late payment fee of up to $38.,US Bank does not disclose the minimum interest charge for the Club Carlson Radisson Rewards Visa Signature Card.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Discover it Miles'}, {'S': 'IHG Rewards Club Select Credit Card'}]",About average. ,US Bank issues Club Carlson Radisson Rewards Visa Signature Card,US Bank does not disclose the returned check fee for the Club Carlson Radisson Rewards Visa Signature Card.,US Bank does not disclose the foreign transaction fee for the Club Carlson Radisson Rewards Visa Signature Card.,US Bank does not disclose the returned payment fee for the Club Carlson Radisson Rewards Visa Signature Card.,US Bank does not disclose the cash advances fee for the Club Carlson Radisson Rewards Visa Signature Card.,A purchase A P R of 14.99% to 23.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Club+Carlson+Radisson+Rewards+Visa+Signature+Card.jpg,US Bank does not disclose the balance transfer A P R for the Club Carlson Radisson Rewards Visa Signature Card.,
Comerica Cash Rewards American Express Card,Comerica,"I know all about the Comerica Cash Rewards American Express Card. It's ok, but ask me for better cash back cards. ", No foreign transaction fee, Has annual fee; sign up bonus isn't great.,None.,The Comerica Cash Rewards American Express Card information on redeeming is on their website. Click apply now to go to the site to check it out.,None.,https://online1.elancard.com/oad/learnMoreCorrespondent.controller?locationCode=7987&productId=04,https://online1.elancard.com/oad/terms.controller?step=display&locationCode=7987&applicantType=customer&offerId=2Q94MP2GXV,About average. ,,63,About average. ,Comerica does not disclose the over limit fee for the Comerica Cash Rewards American Express Card.,Comerica does not disclose the penalty A P R for the Comerica Cash Rewards American Express Card.,"63 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,Comerica does not disclose the cash advance A P R for the Comerica Cash Rewards American Express Card.,Comerica Rewards Amex Card,About average. ,An annual fee of $550.,Comerica does not disclose the balance transfers fee for the Comerica Cash Rewards American Express Card.,No recommended credit score range.,About average. ,A late payment fee of up to $38.,Comerica does not disclose the minimum interest charge for the Comerica Cash Rewards American Express Card.,"[{'S': 'Blue Cash Everyday Card from American Express'}, {'S': 'Discover it - Cashback Match'}, {'S': 'Blue Cash Preferred Card from American Express'}]",About average. ,Comerica issues Comerica Cash Rewards American Express Card,Comerica does not disclose the returned check fee for the Comerica Cash Rewards American Express Card.,Comerica does not disclose the foreign transaction fee for the Comerica Cash Rewards American Express Card.,Comerica does not disclose the returned payment fee for the Comerica Cash Rewards American Express Card.,Comerica does not disclose the cash advances fee for the Comerica Cash Rewards American Express Card.,Not Available.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Comerica+Cash+Rewards+American+Express+Card.jpg,Comerica does not disclose the balance transfer A P R for the Comerica Cash Rewards American Express Card.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Comerica+Cash+Rewards+American+Express+Card.jpg
Comerica Visa Signature Bonus Rewards,Comerica, a weak rewards card - there are many better ones out there. ," No annual fee; 0% for 6 mos on transfers, 25% bonus on points per month", Foreign transaction fee., $25 cash back with your first purchase.,The Comerica Visa Signature Bonus Rewards information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1.00%. ~1.00%.~,https://online1.elancard.com/oad/learnMoreCorrespondent.controller?locationCode=7987&productId=05,https://online1.elancard.com/oad/terms.controller?step=display&locationCode=7987&applicantType=customer&offerId=BDRV9HW28V,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Comerica+Visa+Signature+Bonus+Rewards.jpg,67,About average. ,No over limit fee.,No penalty A P R.,"67 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 24.99% Platinum Bonus Rewards: 24.99%.,Comerica Visa Signature ,About average. ,No annual fee.,"A balance transfers fee of either 3% of the amount of each transfer or $5 minimum, whichever is greater.",A recommended credit score range of 690 to 850.,About average. ,A late payment fee of $38.,A minimum interest charge of $2.,"[{'S': 'Chase Sapphire Preferred Card'}, {'S': 'Blue Cash Everyday Card from American Express'}, {'S': 'Capital One Quicksilver Cash Rewards Credit Card'}]",About average. ,Comerica issues Comerica Visa Signature Bonus Rewards,Comerica does not disclose the returned check fee for the Comerica Visa Signature Bonus Rewards.,A foreign transaction fee of 2% of each foreign purchase transaction or foreign A T M advance transaction in U. S. Dollars 3%.,A returned payment fee of up to $35.,"A cash advances fee of either 4% of the amount of each advance or $20 minimum, whichever is greater.","A purchase A P R of 0% for the first 6 billing cycles. After that, 12.99% to 23.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Comerica+Visa+Signature+Bonus+Rewards.jpg,"A balance transfer A P R of 0% for the first 6 billing cycles for balances transferred within 186 days from account opening. After that, 12.99% to 23.99% based on your creditworthiness when you open your account. Platinum Bonus Rewards: 12.99% to 23.99%.",
Commerce Bank Kansas City Royals with Rewards,Commerce Bank," not great, unless you're a die hard fan of the KC Royals, and even then it's questionable. "," No annual fee; 0% for 12 mos on transfers, discount on game tickets and game day experiences, unlimited point earning", High penalty A P R., None.,The Commerce Bank Kansas City Royals with Rewards information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1.00%. ~1.00%.~,https://www.commercebank.com/personal/cards/kc-royals-mastercard,https://www.commercebank.com/pdfs/cardact/KansasCityRoyalsWebDisclosure.pdf,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Commerce+Bank+Kansas+City+Royals+with+Rewards.jpg,71,About average. ,Commerce Bank does not disclose the over limit fee for the Commerce Bank Kansas City Royals with Rewards.,A penalty A P R of 27.99%.,"71 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 25.99% for Non-Overdraft Cash Advances. 25.99%.,Commerce Bank Kansas City,About average. ,Not Available,"A balance transfers fee of either $10 or 5% of the amount of each , whichever is greater. - Non-Overdraft Either $10 or 5% of the amount of each.",A recommended credit score range of 690 to 850.,About average. ,A late payment fee of $37.,A minimum interest charge of $2.50.,"[{'S': 'Platinum Card from American Express for Mercedes-Benz'}, {'S': 'NHL Discover it Card'}, {'S': 'Platinum Card from American Express for Ameriprise Financial'}]",About average. ,Commerce Bank issues Commerce Bank Kansas City Royals with Rewards,Commerce Bank does not disclose the returned check fee for the Commerce Bank Kansas City Royals with Rewards.,A foreign transaction fee of 1% of each transaction in U. S. Dollars. 2%.,Commerce Bank does not disclose the returned payment fee for the Commerce Bank Kansas City Royals with Rewards.,"A cash advances fee of , whichever is greater. - Overdraft Either $10 or 5% of the amount of each , whichever is greater. -.","A purchase A P R of 0% for first 12 months. After that, 14.99% to 20.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Commerce+Bank+Kansas+City+Royals+with+Rewards.jpg,"A balance transfer A P R of 0% for 12 monthly billing cycles after account opening. After that, 14.99% to 20.99%.",
Commerce Bank Visa Business Platinum,Commerce Bank, streamline your small business payments through a card program with big business advantages. , No annual fee; No foreign transaction fee; can set individual credit lines for employees, No rewards., None.," From 1% cash back to airline travel to gift cards, this card offers some of the most competitive redemption options in the industry. We even offer a bonus point program that allows you to earn 2x and 3x points in select merchant categories when you activate Quarterly Bonus Points..",Not available,https://www.commercebank.com/business/cards/credit-cards,https://www.commercebank.com/-/media/cb/pdf/business/cards/business-card-app-and-disclosures.pdf?la=en&hash=933F7BBA1C1FF79931BA1FD346B802FBB2514477,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Commerce+Bank+Visa+Business+Platinum.jpg,80,About average. ,Commerce Bank does not disclose the over limit fee for the Commerce Bank Visa Business Platinum.,Commerce Bank does not disclose the penalty A P R for the Commerce Bank Visa Business Platinum.,"80 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,Commerce Bank does not disclose the cash advance A P R for the Commerce Bank Visa Business Platinum.,Commerce Bank Card,About average. ,No annual fee.,Commerce Bank does not disclose the balance transfers fee for the Commerce Bank Visa Business Platinum.,A recommended credit score range of 690 to 850.,About average. ,A late payment fee of $29.,Commerce Bank does not disclose the minimum interest charge for the Commerce Bank Visa Business Platinum.,"[{'S': 'Starwood Preferred Guest Business Credit Card from American Express'}, {'S': 'Ink Business Cash Credit Card'}, {'S': 'Blue for Business Credit Card from American Express'}]",About average. ,Commerce Bank issues Commerce Bank Visa Business Platinum,Commerce Bank does not disclose the returned check fee for the Commerce Bank Visa Business Platinum.,Commerce Bank does not disclose the foreign transaction fee for the Commerce Bank Visa Business Platinum.,Commerce Bank does not disclose the returned payment fee for the Commerce Bank Visa Business Platinum.,Commerce Bank does not disclose the cash advances fee for the Commerce Bank Visa Business Platinum.,A purchase A P R of 10.90%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Commerce+Bank+Visa+Business+Platinum.jpg,Commerce Bank does not disclose the balance transfer A P R for the Commerce Bank Visa Business Platinum.,
Delta Reserve Credit Card from American Express,American Express, a premium travel card from Delta - only for frequent fliers. , No foreign transaction fees; Complimentary Delta Sky ClubÂ® Access, Has annual fee; Needs excellent credit.," Earn 10,000 MedallionÂ® Qualification Miles (MQMs) and 10,000 bonus miles after your first purchase on the Card. ~10k MQMs and 10k miles after first purchase.~"," Miles are redeemable toward travel on Delta.  Miles redemptions must be in 5,000 mile increments, with a minimum of 5,000 miles for redemption, and the number of miles redeemed will be rounded up to the nearest 5,000 mile increment. Five thousand miles generally provides $50 of value..","A rewards rate value of 1.00%.  2x for miles on Delta purchases, 1x for all other purchases. ~2x miles on Delta purchases. 1x all else.~",https://www.americanexpress.com/us/credit-cards/card/delta-reserve/,https://www.americanexpress.com/us/credit-cards/personal-card-application/terms/delta-reserve-credit-card/25330-10-0/?print#FeeTable,Good. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Delta+Reserve+Credit+Card+from+American+Express.jpg,91,Excellent. ,No over limit fee.,A penalty A P R of 29.99%.,"91 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Delta Amex Card,Excellent. ,An annual fee of $450.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 720 to 850.,Excellent. ,A late payment fee of $38.,American Express does not disclose the minimum interest charge for the Delta Reserve Credit Card from American Express.,"[{'S': 'Gold Delta SkyMiles Credit Card from American Express'}, {'S': 'Chase Sapphire Preferred Card'}, {'S': 'Platinum Delta SkyMiles Business Credit Card from American Express'}]",Excellent. ,American Express issues Delta Reserve Credit Card from American Express,American Express does not disclose the returned check fee for the Delta Reserve Credit Card from American Express.,No foreign transaction fee.,A returned payment fee of up to $38.,"A cash advances fee of either $5 or 3% of the amount of each cash advance, whichever is greater.",A purchase A P R of 16.74% to 25.74%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Delta+Reserve+Credit+Card+from+American+Express.jpg,A balance transfer A P R of 16.74% to 25.74%.,
Discover it - Cashback Match,Discover, discover's best credit card and one of the highest ranked cards on our site. , Cash back match at the end of your first year; Bonus cash back categories; No annual fee; 0% on purchases for 14 months; 0% on balance transfers for 14 months," Slightly less merchant acceptance for Discover in US - acceptance outside of US can be an issue; If you value simplicity, a flat rate cash back card may be better.", Match all the cash back you've earned at the end of your first year. ~First year cash back matched.~," Discover automatically matches all the cash back you've earned at the end of your first year.  Your cash back never expires. Redeem your rewards in any amount, at any time.","A rewards rate value of 1.00%.  Earn 5% Cash Back in rotating categories each quarter like gas stations, restaurants, Amazon.com, wholesale clubs and more, up to the quarterly maximum each time you activate. Plus unlimited 1% cash back on all other purchases. ~5% on rotating categories. 1% on all others.~",https://www.discover.com/credit-cards/cash-back/it-card.html?,https://www.discovercard.com/application/terms?srcCde=GAYP,Excellent. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+it+-+Cashback+Match.jpg,95,Excellent. ,Discover does not disclose the over limit fee for the Discover it - Cashback Match.,No penalty A P R.,"95 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,A cash advance A P R of 25.74%.,Discover it - Cashback ,Excellent. ,No annual fee.,A balance transfers fee of 3% of the amount of each transfer.,A recommended credit score range of 690 to 850.,Excellent. ,A late payment fee of $37.,A minimum interest charge of $0.50.,"[{'S': 'Blue Cash Everyday Card from American Express'}, {'S': 'Discover It Secured Card'}, {'S': 'Blue Cash Preferred Card from American Express'}]",Excellent. ,Discover issues Discover it - Cashback Match,Discover does not disclose the returned check fee for the Discover it - Cashback Match.,Discover does not disclose the foreign transaction fee for the Discover it - Cashback Match.,A returned payment fee of up to $37.,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 0% for first 14 months. After that, 11.74% to 23.74%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+it+-+Cashback+Match.jpg,"A balance transfer A P R of 0% for 14 months from date of first transfer, for transfers under this offer that post to your account by September 10, 2017. After that, 11.74% to 23.74%.",
Discover it chrome for Students,Discover, solid card for students to build a credit history. ," Qualify with average credit; 5% rotating cash back categories; No annual fee; 0% on Purchases for 6 months; No foreign transaction fee; cash back for good grades, cash back match at the end of the first year", Not accepted at all merchants., Match all the cash back you've earned at the end of your first year. ~First year cash back matched.~,The Discover it chrome for Students information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1.00%. ~1.00%.~,https://www.discover.com/credit-cards/student/chrome-card.html,https://www.discovercard.com/application/terms?srcCde=RJRM,Excellent. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+it+chrome+for+Students.jpg,87,Excellent. ,Discover does not disclose the over limit fee for the Discover it chrome for Students.,No penalty A P R.,"87 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,A cash advance A P R of 25.74%.,Discover chrome Student,Excellent. ,No annual fee.,A balance transfers fee of 3% of the amount of each transfer.,A recommended credit score range of 630 to 850.,Excellent. ,A late payment fee of $37.,A minimum interest charge of $0.50.,"[{'S': 'Discover it for Students'}, {'S': 'Journey Student Rewards from Capital One'}, {'S': 'SelfScore Achieve MasterCard for International Students'}]",Excellent. ,Discover issues Discover it chrome for Students,Discover does not disclose the returned check fee for the Discover it chrome for Students.,Discover does not disclose the foreign transaction fee for the Discover it chrome for Students.,A returned payment fee of up to $37.,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 0% for first 6 months. After that, 13.74% to 22.74%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+it+chrome+for+Students.jpg,"A balance transfer A P R of 10.99% for 6 months from date of first transfer, for transfers under this offer that post to your account by September 10, 2017. After that, 13.74% to 22.74%.",
Discover it for Students,Discover, dependable student card to build credit and get cash back. , Qualify with average credit; No annual fee; 0% on Purchases for 6 months; No foreign transaction fee; 2% cash back on restaurants and gas," Limited acceptance for Discover, especially if you're planning to study abroad."," Get a dollar-for-dollar match of all the cash back you've earned at the end of your first year, automatically. ~First year cash back matched.~"," Discover will match all the cash back you've earned at the end of your first year, automatically.  You can redeem anytime after the match is done..","A rewards rate value of 1.00%.  5% Cash Back Rewards in rotating categories each quarter like gas stations, restaurants, Amazon.com and more, up to the quarterly maximum each time you activate. Plus unlimited 1% cash back on all other purchases. ~5%  on rotating categories. 1% on all others.~",https://www.discover.com/credit-cards/student/it-card.html,https://www.discovercard.com/application/terms?srcCde=RJQX,Excellent. ,,94,Excellent. ,Discover does not disclose the over limit fee for the Discover it for Students.,No penalty A P R.,"94 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,A cash advance A P R of 25.74%.,Discover it for Students,Excellent. ,No annual fee.,A balance transfers fee of 3% of the amount of each transfer.,A recommended credit score range of 630 to 850.,Excellent. ,A late payment fee of $37.,A minimum interest charge of $0.50.,"[{'S': 'Journey Student Rewards from Capital One'}, {'S': 'Discover it chrome for Students'}, {'S': 'SelfScore Achieve MasterCard for International Students'}]",Excellent. ,Discover issues Discover it for Students,Discover does not disclose the returned check fee for the Discover it for Students.,Discover does not disclose the foreign transaction fee for the Discover it for Students.,A returned payment fee of up to $37.,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 0% for first 6 month.  After that, 13.74% to 22.74%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+it+for+Students.jpg,"A balance transfer A P R of 10.99% for 6 months from date of first transfer, for transfers under this offer that post to your account by September 10, 2017. After that, 13.74% to 22.74%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+it+for+Students.jpg
Discover it Miles,Discover, oh the miles you'll go with this masterful airline miles card. ," High rewards rate; No annual fee; 10.99% for 14 months on transfers; No foreign transaction fee; Matches miles earned at the end of the first year, 1.5x miles"," Limited acceptance for Discover, especially abroad.","Will match all the Miles you've earned at the end of your first year. Bonus Miles - For example, if you earn 30,000 Miles, you get 60,000 Miles. ~First year earned Miles matched.~"," Use your Discover it® Miles card for any travel purchase, including all airlines, hotels, rental cars and more. No Blackout Dates. Once you book your travel with Discover it® Miles card, redeem your Miles as a statement credit towards the purchase. Your rewards never expire.",A rewards rate value of 1.5 miles.  Earn unlimited 1.5x Miles for every dollar spent on all purchases – from airfare and hotels to groceries and online shopping. ~1.5x miles per dollar on all purchases.~,https://www.discover.com/credit-cards/travel/,https://www.discovercard.com/application/terms?srcCde=GAX5,Excellent. ,,93,Excellent. ,Discover does not disclose the over limit fee for the Discover it Miles.,No penalty A P R.,"93 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,A cash advance A P R of 25.74%.,Discover it Miles,Excellent. ,No annual fee.,A balance transfers fee of 3% of the amount of each transfer.,A recommended credit score range of 690 to 850.,Excellent. ,A late payment fee of $37.,A minimum interest charge of $0.50.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Chase Sapphire Preferred Card'}, {'S': 'Gold Delta SkyMiles Credit Card from American Express'}]",Excellent. ,Discover issues Discover it Miles,Discover does not disclose the returned check fee for the Discover it Miles.,Discover does not disclose the foreign transaction fee for the Discover it Miles.,A returned payment fee of up to $37.,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 0% for first 14 months. After that, 11.74% to 23.74%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+it+Miles.jpg,"A balance transfer A P R of 10.99% for 14 months from date of first transfer, for transfers under this offer that post to your account by September 10, 2017. After that, 11.74% to 23.74%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+it+Miles.jpg
Discover It Secured Card,Discover," a great card to build up credit, with decent rewards, unlike most secured cards. "," No annual fee; 10.99% on balance transfers for 6 months; A dollar-for-dollar match of all the cash back youâ€™ve earned at the end of your first year, automatically"," Although no annual fee, you have to put in a security deposit of $200.", Match all the cash back you've earned at the end of your first year. ~First year cash back matched.~, Redeem Any Amount Any Time: Discover will credit your account with your cash back bonus balance if your account is closed or has not been used in 18 months. And you can redeem on Amazon.com..,"A rewards rate value of 1.00%.  2% Cashback at restaurants or gas stations on up to $1,000 in combined purchases each quarter. Plus 1% cash back on all other credit card purchases. ~2% on dining and gas. 1% all others.~",https://www.discover.com/credit-cards/secured/,https://www.discovercard.com/application/securedApplicantTerms?srcCde=KXPA,Excellent. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+It+Secured+Card.jpg,97,Excellent. ,Discover does not disclose the over limit fee for the Discover It Secured Card.,No penalty A P R.,"97 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,A cash advance A P R of 25.74%.,Discover It Secured Card,Excellent. ,No annual fee.,A balance transfers fee of 3% of the amount of each transfer.,A recommended credit score range of 350 to 689.,Excellent. ,A late payment fee of $37.,A minimum interest charge of $2.00.,"[{'S': 'Amazon Signature Visa Card'}, {'S': 'Navy Federal nRewards Secured Credit Card'}, {'S': 'Discover it - Cashback Match'}]",Excellent. ,Discover issues Discover It Secured Card,Discover does not disclose the returned check fee for the Discover It Secured Card.,Discover does not disclose the foreign transaction fee for the Discover It Secured Card.,A returned payment fee of up to $37.,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.",A purchase A P R of 23.74%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Discover+It+Secured+Card.jpg,"A balance transfer A P R of 10.99% for 6 months from date of first transfer, for transfers that post to your account by September 10, 2017. After that, 23.74%.",
Exxon Mobil Credit Card,Citi," gas card that gives you a discount in a fixed amount, not a percentage - go for it if your main spending is gas and you usually get it for cheap. ", Qualify with average credit; No annual fee; No foreign transaction fee, No rewards; High A P R., None.,The Exxon Mobil Credit Card information on redeeming is on their website. Click apply now to go to the site to check it out.,None.,https://citicards.citi.com/usc/crs/exxonmobil/consumer.htm?BTData=Mfx.B.B4f.J.BWT.KwB9.ZrZ.c9c.d7c.Bj.PP.uQ&ProspectID=C52B9822751C453D9538087C1A6D8BEF,https://citiretailservices.citibankonline.com/CRS/acq/launch/index.action?app=UNSOL&siteId=PLOC_EXXONMOBIL&sc=06001#tnc,Below average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Exxon+Mobil+Credit+Card.jpg,71,Below average. ,Citi does not disclose the over limit fee for the Exxon Mobil Credit Card.,Citi does not disclose the penalty A P R for the Exxon Mobil Credit Card.,"71 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,Citi does not disclose the cash advance A P R for the Exxon Mobil Credit Card.,Exxon Mobil Card,Below average. ,No annual fee.,Citi does not disclose the balance transfers fee for the Exxon Mobil Credit Card.,A recommended credit score range of 630 to 850.,Below average. ,A late payment fee of up to $37.,Citi does not disclose the minimum interest charge for the Exxon Mobil Credit Card.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Chevron and Texaco Advantage Visa Card'}, {'S': 'Discover it Miles'}]",Below average. ,Citi issues Exxon Mobil Credit Card,Citi does not disclose the returned check fee for the Exxon Mobil Credit Card.,Citi does not disclose the foreign transaction fee for the Exxon Mobil Credit Card.,Citi does not disclose the returned payment fee for the Exxon Mobil Credit Card.,Citi does not disclose the cash advances fee for the Exxon Mobil Credit Card.,A purchase A P R of 25.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Exxon+Mobil+Credit+Card.jpg,Citi does not disclose the balance transfer A P R for the Exxon Mobil Credit Card.,
